,PHU_orig,PHU_dest,week,flow
143,2226,2233,2020-02-24,100.0
144,2226,2233,2020-03-02,170.0
145,2226,2233,2020-03-09,150.0
146,2226,2233,2020-03-16,200.0
147,2226,2233,2020-03-23,20.0
148,2226,2233,2020-03-30,360.0
149,2226,2233,2020-04-06,630.0
150,2226,2233,2020-04-20,200.0
151,2226,2233,2020-04-27,210.0
152,2226,2233,2020-05-04,60.0
153,2226,2233,2020-05-11,70.0
154,2226,2233,2020-05-18,70.0
155,2226,2233,2020-05-25,70.0
156,2226,2233,2020-06-08,20.0
157,2226,2233,2020-06-15,30.0
158,2226,2233,2020-06-22,120.0
159,2226,2233,2020-06-29,130.0
160,2226,2233,2020-07-06,60.0
161,2226,2233,2020-07-13,330.0
162,2226,2233,2020-07-20,840.0
163,2226,2233,2020-07-27,1040.0
164,2226,2233,2020-08-03,1620.0
165,2226,2233,2020-08-10,960.0
166,2226,2233,2020-08-17,570.0
167,2226,2233,2020-08-24,870.0
168,2226,2233,2020-08-31,710.0
169,2226,2233,2020-09-07,130.0
170,2226,2233,2020-09-14,380.0
171,2226,2233,2020-09-21,840.0
172,2226,2233,2020-09-28,470.0
173,2226,2233,2020-10-05,510.0
174,2226,2233,2020-10-12,780.0
175,2226,2233,2020-10-19,190.0
176,2226,2233,2020-10-26,210.0
177,2226,2233,2020-11-02,400.0
178,2226,2233,2020-11-09,40.0
179,2226,2233,2020-11-16,270.0
180,2226,2233,2020-11-23,120.0
181,2226,2233,2020-11-30,230.0
182,2226,2233,2020-12-07,230.0
183,2226,2233,2020-12-14,380.0
184,2226,2233,2020-12-21,460.0
185,2226,2233,2020-12-28,480.0
186,2226,2234,2020-01-06,140.0
187,2226,2234,2020-01-27,160.0
188,2226,2234,2020-02-03,180.0
189,2226,2234,2020-02-10,200.0
190,2226,2234,2020-02-17,40.0
191,2226,2234,2020-02-24,260.0
192,2226,2234,2020-03-02,140.0
193,2226,2234,2020-03-09,500.0
194,2226,2234,2020-03-16,540.0
195,2226,2234,2020-03-23,120.0
196,2226,2234,2020-03-30,170.0
197,2226,2234,2020-04-06,20.0
198,2226,2234,2020-04-13,50.0
199,2226,2234,2020-04-20,70.0
200,2226,2234,2020-04-27,180.0
201,2226,2234,2020-05-18,20.0
202,2226,2234,2020-05-25,150.0
203,2226,2234,2020-06-01,230.0
204,2226,2234,2020-06-08,190.0
205,2226,2234,2020-06-15,70.0
206,2226,2234,2020-06-22,350.0
207,2226,2234,2020-06-29,120.0
208,2226,2234,2020-07-06,300.0
209,2226,2234,2020-07-13,180.0
210,2226,2234,2020-07-20,660.0
211,2226,2234,2020-07-27,580.0
212,2226,2234,2020-08-03,200.0
213,2226,2234,2020-08-10,190.0
214,2226,2234,2020-08-17,220.0
215,2226,2234,2020-08-24,380.0
216,2226,2234,2020-08-31,280.0
217,2226,2234,2020-09-07,320.0
218,2226,2234,2020-09-14,200.0
219,2226,2234,2020-09-21,110.0
220,2226,2234,2020-09-28,250.0
221,2226,2234,2020-10-05,110.0
222,2226,2234,2020-10-12,160.0
223,2226,2234,2020-10-19,70.0
224,2226,2234,2020-11-02,50.0
225,2226,2234,2020-11-09,30.0
226,2226,2234,2020-11-16,70.0
227,2226,2234,2020-11-23,620.0
228,2226,2234,2020-11-30,150.0
229,2226,2234,2020-12-07,60.0
230,2226,2234,2020-12-14,20.0
231,2226,2234,2020-12-21,490.0
232,2226,2234,2020-12-28,270.0
233,2226,2235,2020-01-06,330.0
234,2226,2235,2020-01-13,30.0
235,2226,2235,2020-01-20,40.0
236,2226,2235,2020-01-27,60.0
237,2226,2235,2020-02-03,120.0
238,2226,2235,2020-02-10,40.0
239,2226,2235,2020-02-17,320.0
240,2226,2235,2020-02-24,70.0
241,2226,2235,2020-03-02,310.0
242,2226,2235,2020-03-09,250.0
243,2226,2235,2020-03-16,240.0
244,2226,2235,2020-03-23,450.0
245,2226,2235,2020-03-30,170.0
246,2226,2235,2020-04-06,60.0
247,2226,2235,2020-04-20,40.0
248,2226,2235,2020-04-27,170.0
249,2226,2235,2020-05-04,620.0
250,2226,2235,2020-05-11,480.0
251,2226,2235,2020-05-18,70.0
252,2226,2235,2020-05-25,210.0
253,2226,2235,2020-06-01,370.0
254,2226,2235,2020-06-08,140.0
255,2226,2235,2020-06-15,320.0
256,2226,2235,2020-06-22,720.0
257,2226,2235,2020-06-29,290.0
258,2226,2235,2020-07-06,1010.0
259,2226,2235,2020-07-13,640.0
260,2226,2235,2020-07-20,1110.0
261,2226,2235,2020-07-27,1150.0
262,2226,2235,2020-08-03,2070.0
263,2226,2235,2020-08-10,1740.0
264,2226,2235,2020-08-17,730.0
265,2226,2235,2020-08-24,840.0
266,2226,2235,2020-08-31,580.0
267,2226,2235,2020-09-07,720.0
268,2226,2235,2020-09-14,370.0
269,2226,2235,2020-09-21,690.0
270,2226,2235,2020-09-28,690.0
271,2226,2235,2020-10-05,190.0
272,2226,2235,2020-10-12,500.0
273,2226,2235,2020-10-19,460.0
274,2226,2235,2020-10-26,460.0
275,2226,2235,2020-11-02,680.0
276,2226,2235,2020-11-09,680.0
277,2226,2235,2020-11-16,430.0
278,2226,2235,2020-11-23,570.0
279,2226,2235,2020-11-30,80.0
280,2226,2235,2020-12-07,220.0
281,2226,2235,2020-12-14,50.0
282,2226,2235,2020-12-21,620.0
283,2226,2235,2020-12-28,670.0
284,2226,2236,2020-01-06,30.0
285,2226,2236,2020-01-13,30.0
286,2226,2236,2020-01-20,20.0
287,2226,2236,2020-01-27,160.0
288,2226,2236,2020-02-03,310.0
289,2226,2236,2020-02-10,250.0
290,2226,2236,2020-02-17,60.0
291,2226,2236,2020-02-24,80.0
292,2226,2236,2020-03-02,680.0
293,2226,2236,2020-03-09,450.0
294,2226,2236,2020-03-16,520.0
295,2226,2236,2020-03-23,660.0
296,2226,2236,2020-03-30,170.0
297,2226,2236,2020-04-06,130.0
298,2226,2236,2020-04-13,70.0
299,2226,2236,2020-04-20,350.0
300,2226,2236,2020-04-27,270.0
301,2226,2236,2020-05-04,460.0
302,2226,2236,2020-05-11,220.0
303,2226,2236,2020-05-18,150.0
304,2226,2236,2020-05-25,150.0
305,2226,2236,2020-06-01,310.0
306,2226,2236,2020-06-08,240.0
307,2226,2236,2020-06-15,240.0
308,2226,2236,2020-06-22,370.0
309,2226,2236,2020-06-29,200.0
310,2226,2236,2020-07-06,160.0
311,2226,2236,2020-07-13,530.0
312,2226,2236,2020-07-20,320.0
313,2226,2236,2020-07-27,20.0
314,2226,2236,2020-08-03,320.0
315,2226,2236,2020-08-10,230.0
316,2226,2236,2020-08-17,720.0
317,2226,2236,2020-08-24,710.0
318,2226,2236,2020-08-31,280.0
319,2226,2236,2020-09-07,530.0
320,2226,2236,2020-09-14,130.0
321,2226,2236,2020-09-21,460.0
322,2226,2236,2020-09-28,540.0
323,2226,2236,2020-10-05,260.0
324,2226,2236,2020-10-12,420.0
325,2226,2236,2020-10-19,210.0
326,2226,2236,2020-10-26,340.0
327,2226,2236,2020-11-02,210.0
328,2226,2236,2020-11-09,100.0
329,2226,2236,2020-11-16,350.0
330,2226,2236,2020-11-23,160.0
331,2226,2236,2020-12-07,150.0
332,2226,2236,2020-12-21,830.0
333,2226,2236,2020-12-28,970.0
334,2226,2237,2020-01-06,140.0
335,2226,2237,2020-01-13,60.0
336,2226,2237,2020-01-20,180.0
337,2226,2237,2020-01-27,250.0
338,2226,2237,2020-02-03,420.0
339,2226,2237,2020-02-10,190.0
